comptages,noms,troncons
88,Alice,t1
40,Alice,t2
48,Alice,t3
90,Anais,t1
31,Anais,t2
44,Anais,t3
147,Antoine,t1
50,Antoine,t2
63,Antoine,t3
69,Aurore,t1
24,Aurore,t2
71,Aurore,t3
155,Clement,t1
45,Clement,t2
62,Clement,t3
102,Farah,t1
41,Farah,t2
41,Farah,t3
85,Juliette,t1
24,Juliette,t2
40,Juliette,t3
130,Lea,t1
21,Lea,t2
51,Lea,t3
112,Lena,t1
39,Lena,t2
58,Lena,t3
93,Leslie,t1
39,Leslie,t2
42,Leslie,t3
124,Lucas,t1
46,Lucas,t2
56,Lucas,t3
86,Marie,t1
36,Marie,t2
51,Marie,t3
132,Maurane,t1
37,Maurane,t2
78,Maurane,t3
107,Mina,t1
38,Mina,t2
31,Mina,t3
134,Oceane,t1
40,Oceane,t2
50,Oceane,t3
127,Remy,t1
51,Remy,t2
35,Remy,t3
120,Roman,t1
30,Roman,t2
46,Roman,t3
96,Ronan,t1
42,Ronan,t2
27,Ronan,t3
100,Sabrina,t1
19,Sabrina,t2
45,Sabrina,t3
68,Thomas,t1
16,Thomas,t2
34,Thomas,t3
